report_date,city,tavg,tmin,tmax,prcp,rhum,wspd
2023-05-06,Dublin,12.0,8.6,17.3,0.0,,9.5
2023-05-06,Limerick,13.9,11.0,17.7,2.0,,12.2
2023-05-07,Cork,11.8,9.5,14.0,6.9,,18.0
2023-05-07,Dublin,14.2,8.3,19.3,5.6,,11.0
2023-05-07,Limerick,13.3,8.8,16.1,3.0,,17.7
2023-05-08,Cork,13.7,11.0,16.0,4.1,,18.6
2023-05-08,Dublin,15.1,13.5,20.2,5.0,,13.1
2023-05-08,Limerick,14.3,11.4,16.7,5.6,,14.7
2023-05-09,Cork,11.9,9.5,15.5,4.1,,15.9
2023-05-09,Dublin,12.6,8.5,17.5,1.9,,13.5
2023-05-09,Limerick,12.5,9.8,15.5,0.0,,19.4
2023-05-10,Cork,11.1,8.7,13.5,0.1,,19.5
2023-05-10,Dublin,11.8,9.1,16.5,2.4,,18.8
2023-05-10,Limerick,11.6,9.9,13.4,5.1,,27.9
2023-05-11,Cork,11.4,8.2,14.5,2.2,,25.2
2023-05-11,Dublin,11.0,8.8,14.9,6.0,,15.0
2023-05-11,Limerick,12.2,9.6,14.9,4.1,,22.8
2023-05-12,Cork,12.8,8.7,17.7,0.0,,15.9
2023-05-12,Dublin,10.5,5.6,16.4,0.0,,13.5
2023-05-12,Limerick,13.2,7.6,18.9,0.0,,12.2
2023-05-13,Cork,13.3,9.0,17.5,0.0,,12.5
2023-05-13,Dublin,10.4,5.8,16.8,0.1,,9.3
2023-05-13,Limerick,13.4,7.7,20.3,0.0,,9.5
2023-05-14,Cork,11.0,7.7,14.2,1.0,,21.4
2023-05-14,Dublin,11.7,9.2,16.7,0.3,,15.0
2023-05-14,Limerick,11.7,8.2,14.0,2.3,,18.3
2023-05-15,Cork,10.0,5.7,14.5,0.0,,17.0
2023-05-15,Dublin,9.1,3.7,15.8,0.0,,15.2
2023-05-15,Limerick,10.5,5.0,14.3,0.0,,13.1
2023-05-16,Cork,10.6,5.5,15.6,0.0,,14.4
2023-05-16,Dublin,10.0,3.9,18.8,0.0,,14.2
2023-05-16,Limerick,10.9,4.6,16.8,0.0,,9.2
2023-05-17,Cork,12.1,8.2,16.6,0.0,,14.1
2023-05-17,Dublin,12.2,6.1,20.1,0.0,,12.2
2023-05-17,Limerick,11.6,6.4,16.1,0.0,,10.0
2023-05-18,Cork,11.8,7.7,16.0,0.0,,12.3
2023-05-18,Dublin,12.8,9.4,18.5,0.1,,13.8
2023-05-18,Limerick,11.8,8.6,16.0,0.3,,13.2
2023-05-19,Cork,12.2,8.5,16.2,0.0,,20.4
2023-05-19,Dublin,12.4,8.6,17.1,0.0,,13.2
2023-05-19,Limerick,12.1,6.5,16.7,0.0,,9.7
2023-05-20,Cork,13.5,11.0,16.5,1.9,,11.9
2023-05-20,Dublin,12.8,11.2,16.0,0.0,,6.9
2023-05-20,Limerick,14.3,11.9,18.8,0.5,,7.5
2023-05-21,Cork,14.2,12.0,17.0,3.1,,12.0
2023-05-21,Dublin,12.7,9.7,17.8,0.0,,9.6
2023-05-21,Limerick,14.6,12.4,17.1,3.3,,10.8
