report_date,hospital,region,lag7_used,pred_hosp
2025-11-12,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-12,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-12,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-12,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
2025-11-12,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-12,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-12,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-12,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-12,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-12,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-12,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-12,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-12,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-12,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-12,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-12,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-12,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-12,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-12,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-12,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-12,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-12,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-12,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-12,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-12,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-12,UH Limerick,HSE West & North West,27.0,4.465932287521603
2025-11-12,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-12,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
2025-11-13,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-13,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-13,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-13,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-13,Cork University Hospital,South / South-West,32.0,17.556454419748313
